,cod_artist,artist
0,1,(Bulgarian State Female Vocal Choir)
1,2,"(David Seville And The Chipmunks) Ross Bagdasarian, Sr."
2,3,(Depeche Mode)
3,4,(Franklin Delano Roosevelt)
4,5,(Go) Get It
5,6,(Jane Ira Bloom)
6,7,(Jim Henson's Muppets & The Sesame Street Cast)
7,8,(Jimi Hendrix)
8,9,(Joe South)
9,10,(John F. Kennedy)
10,11,(John Lennon)
11,12,(Miles Davis)
12,13,(Miles Davis) & Various Artists
13,14,(Mormon Tabernacle Choir)
14,15,(Original Broadway Cast)
15,16,(Original Cast)
16,17,(Sam Cooke)
17,18,(Sesame Street Cast)
18,19,(Sesame Street Characters)
19,20,(Simon And Garfunkel)
20,21,"(Sly & The Family Stone), John Legend, Joss Stone With Van Hunt"
21,22,(The Beatles)
22,23,(The Doors)
23,24,(The Maranatha! Kids)
24,25,(The Muppets)
25,26,"(The Muppets, Glen Campbell, Crystal Gayle, Loretta Lynn, Tanya Tucker)"
26,27,(The Sesame Street Muppets & Various Artists)
27,28,(The Sesame Street Muppets)
28,29,"(Uta Hagen, Arthur Hill, George Grizzard & Melinda Dillon)"
29,30,(Various Artists)
30,31,2+2 Plus
31,32,21 Savage
32,33,500 Miles High
33,34,5th Dimension
34,35,A Change Is Gonna Come
35,36,A Flock Of Seagulls
36,37,A Great Big World With Christina Aguilera
37,38,A Taste Of Honey
38,39,AC/DC
39,40,Aaron Neville & Trisha Yearwood
40,41,Adam Abeshouse
41,42,Adam Stern
42,43,Adele
43,44,"Adele Adkins & Paul Epworth, songwriters (Adele)"
44,45,Aerosmith
45,46,Afternoon Delight
46,47,Aida Cuevas
47,48,Aimee Mann
48,49,"Al Bunetta, Dan Einstein & Hank Neuberger, producers; (Arlo Guthrie, John Hartford, Richie Havens, Bonnie Koloc, Nitty Gritty Dirt Band, John Prine and Others)"
49,50,Al Franken
50,51,Al Green
51,52,Al Green & Lyle Lovett
52,53,Al Green Featuring Anthony Hamilton
53,54,Al Green Featuring John Legend
54,55,Al Hirt
55,56,Al Jarreau
56,57,Alabama
57,58,Alabama Shakes
58,59,Alan Copeland Singers
59,60,"Alan Menken & Glenn Slater, songwriters (Mandy Moore & Zachary Levi)"
60,61,"Alan Menken & Stephen Schwartz, songwriters (Vanessa Williams & Judy Kuhn)"
61,62,"Alan Menken & Tim Rice, songwriters (Peabo Bryson & Regina Belle)"
62,63,Alanis Morissette
63,64,Alannah Myles
64,65,Albertina Walker
65,66,Alejandro Sanz
66,67,Alessia Cara
67,68,Ali Farka Toure & Ry Cooder
68,69,Ali Farka Touré & Toumani Diabaté
69,70,Alicia Keys
70,71,Alison Brown & Béla Fleck
71,72,Alison Krauss
72,73,Alison Krauss & The Cox Family
73,74,Alison Krauss & Union Station
74,75,Alison Krauss And Union Station
75,76,All-4-One
76,77,Allan Sherman
77,78,Alphabet Rockers
78,79,Altin Gün
79,80,Amazing Rhythm Aces
80,81,America
81,82,Amy Grant
82,83,Amy Hānaiali’i
83,84,Amy Winehouse
84,85,Anagram
85,86,Anat Cohen Tentet
86,87,Anderson .Paak
87,88,Anderson .Paak Featuring André 3000
88,89,Andrae Crouch
89,90,Andrae Crouch & The Disciples
90,91,Andre Previn
91,92,Andrea Bocelli
92,93,Andreas Vollenweider
93,94,Andrew Bird
94,95,Andrew Cornall
95,96,André Previn
96,97,Andy Griffith
97,98,Angelique Kidjo
98,99,Angelo Badalamenti
99,100,Anita Baker
100,101,Anita Baker & The Winans
101,102,Anita Kerr Singers
102,103,Anne Murray
103,104,Annie Lennox
104,105,"Annie Lennox, Howard Shore & Fran Walsh, songwriters (Annie Lennox)"
105,106,Aphex Twin
106,107,Apparat
107,108,April Stevens And Nino Tempo
108,109,Arcade Fire
109,110,Aretha Franklin
110,111,Aretha Franklin & George Michael
111,112,Aretha Franklin & Mary J. Blige (Featuring The Harlem Boys Choir)
112,113,Ariana Grande
113,114,Ariana Grande & Social House
114,115,Arif Mardin
115,116,Arjona
116,117,Arrested Development
117,118,Art Blakey & The Jazz Messengers
118,119,Art Linkletter & Diane Linkletter
119,120,Arturo O'Farrill & The Afro Latin Jazz Orchestra
120,121,Arturo O'Farrill & The Afro-Latin Jazz Orchestra
121,122,Arturo Sandoval
122,123,Ashanti
123,124,Ashley Cleveland
124,125,Ashley McBryde
125,126,Asleep At The Wheel
126,127,Asleep At The Wheel & Lyle Lovett
127,128,Asleep At The Wheel Featuring Béla Fleck & Johnny Gimble
128,129,"Asleep At The Wheel Featuring Eldon Shamblin, Johnny Gimble, Chet Atkins, Vince Gill, Marty Stuart & Reuben ""Lucky Oceans"" Gosfield"
129,130,"Asleep At The Wheel Featuring Tommy Allsup, Floyd Domino, Larry Franklin, Vince Gill & Steve Wariner"
130,131,Audio Adrenaline
131,132,Audrey Hepburn
132,133,Aymée Nuviola
133,134,Aziz Ansari
134,135,B.B. King
135,136,B.B. King & Dr. John
136,137,B.B. King & Eric Clapton
137,138,B.B. King & Friends
138,139,B.J. Thomas
139,140,BJ The Chicago Kid
140,141,Babyface
141,142,Babyface & L.A. Reid
142,143,Bacilos
143,144,Bad Bunny
144,145,Baha Men
145,146,Barack Obama
146,147,Barbara Bailey Hutchison
147,148,Barbara Mandrell
148,149,Barbara Mandrell & Bobby Jones
149,150,Barber: Piano Concerto
150,151,Barbra Streisand
151,152,Barbra Streisand & Barry Gibb
152,153,Barry Manilow
153,154,Barry White
154,155,Basement Jaxx
155,156,Be-Bop
156,157,BeBe & CeCe Winans
157,158,Beastie Boys
158,159,"Beau Bridges, Cynthia Nixon & Blair Underwood"
159,160,BeauSoleil
160,161,BeauSoleil & Michael Doucet
161,162,Bebe Winans
162,163,Bebo Valdés
163,164,Bebo Valdés And Chucho Valdés
164,165,"Bebo Valdés Trio With Israel López ""Cachao"" & Carlos ""Patato"" Valdés"
165,166,Beck
166,167,Bee Gees
167,168,"Bee Gees, Albhy Galuten & Karl Richardson"
168,169,Beenie Man
169,170,Belafonte At Carnegie Hall
170,171,Belafonte Folk Singers
171,172,Ben Harper
172,173,Ben Harper & The Blind Boys Of Alabama
173,174,Ben Harper With Charlie Musselwhite
174,175,Ben Kingsley
175,176,Bent Fabric
176,177,Bette Midler
177,178,Betty Carter
178,179,Betty White
179,180,Beyoncé
180,181,Beyoncé & Luther Vandross
181,182,Beyoncé & Stevie Wonder
182,183,Beyoncé Featuring Jay Z
183,184,Beyoncé Featuring Jay-Z
184,185,Big Thief
185,186,Bill & Gloria Gaither & The Homecoming Friends
186,187,Bill & Gloria Gaither & Their Homecoming Friends
187,188,Bill Clinton
188,189,"Bill Clinton, Mikhail Gorbachev & Sophia Loren (Kent Nagano; Russian National Orchestra)"
189,190,Bill Cosby
190,191,Bill Evans
191,192,Bill Evans Trio
192,193,Bill Frisell
193,194,Bill Harley
194,195,Bill Miller
195,196,Bill Monroe
196,197,Billie Eilish
197,198,Billy Childs
198,199,Billy Joel
199,200,Billy May
200,201,Billy Ocean
201,202,Billy Paul
202,203,Billy Preston
203,204,Black Eagle
204,205,"Black Keys, The"
205,206,Black Pumas
206,207,Black Sabbath
207,208,Black Uhuru
208,209,Black:Guayaba
209,210,Blackstreet
210,211,Blackwood Brothers
211,212,Blake Shelton
212,213,Blanton Alspaugh
213,214,Blanton Alspaugh (producer)
214,215,"Blood, Sweat And Tears"
215,216,Blues Traveler
216,217,Bob Dylan
217,218,Bob James & Earl Klugh
218,219,Bob Mintzer Big Band
219,220,Bob Newhart
220,221,Bob Seger & The Silver Bullet Band
221,222,Bobbie Gentry
222,223,Bobby Bare
223,224,Bobby Brown
224,225,Bobby Darin
225,226,Bobby McFerrin
226,227,Bobby McFerrin & Jack Nicholson
227,228,Bobby McFerrin & Jon Hendricks
228,229,Bobby Rush
229,230,Bokanté & Metropole Orkest Conducted By Jules Buckley
230,231,Bon Iver
231,232,Bon Jovi & Jennifer Nettles
232,233,Bone Thugs-N-Harmony
233,234,Bones UK
234,235,Bonnie Raitt
235,236,Bonnie Raitt & Delbert McClinton
236,237,Bonnie Raitt & John Lee Hooker
237,238,Bonobo
238,239,Booker T & The MG's
239,240,Booker T. Jones
240,241,Boris Karloff
241,242,Boyz II Men
242,243,Brad Mehldau
243,244,Brad Paisley
244,245,"Brad Paisley, James Burton, Vince Gill, John Jorgenson, Albert Lee, Brent Mason, Redd Volkaert & Steve Wariner"
245,246,Brandi Carlile
246,247,Brandy & Monica
247,248,Branford Marsalis
248,249,Branford Marsalis Quartet
249,250,Brave Combo
250,251,Brecker Brothers
251,252,Brendan O'Brien
252,253,Brian Eno & Daniel Lanois
253,254,Brian Lynch Big Band
254,255,Brian Wilson
255,256,Bring Me The Horizon
256,257,Britney Spears
257,258,Brittany Howard
258,259,Brooks & Dunn
259,260,Brooks & Dunn With Luke Combs
260,261,Brothers Johnson
261,262,Brothers Osborne
262,263,Bruce Carroll
263,264,Bruce Hornsby & Branford Marsalis
264,265,Bruce Hornsby & The Range
265,266,Bruce Springsteen
266,267,"Bruce Springsteen, songwriter (Bruce Springsteen)"
267,268,Bruno Mars
268,269,"Bryan Adams, Michael Kamen & Robert John ""Mutt"" Lange, songwriters (Bryan Adams)"
269,270,Bryan Sutton & Doc Watson
270,271,Bryn Terfel
271,272,Buck Howdy
272,273,Buckwheat Zydeco
273,274,Buddy Guy
274,275,Buju Banton
275,276,Bunny Wailer
276,277,Burl Ives
277,278,Burna Boy
278,279,Burning Spear
279,280,Burt Bacharach
280,281,Béla Fleck
281,282,Béla Fleck & Abigail Washburn
282,283,Béla Fleck & The Flecktones
283,284,"Béla Fleck, Edgar Meyer, Joshua Bell, John Williams & Evelyn Glennie"
284,285,Cabin Fever
285,286,Cachao
286,287,Caetano Veloso
287,288,Café Tacuba
288,289,Cage The Elephant
289,290,Cal Tjader
290,291,Calexico And Iron & Wine
291,292,Calle 13
292,293,Candlemass Featuring Tony Iommi
293,294,Cannonball Adderley Quintet
294,295,Captain & Tennille
295,296,Cardi B
296,297,Caribbean Jazz Project
297,298,Carl Jackson & John Starling (With The Nash Ramblers)
298,299,Carl Sandburg
299,300,Carlos Santana
300,301,Carlos Vives
301,302,Carly Simon
302,303,"Carly Simon, songwriter (Carly Simon)"
303,304,Carol Burnett
304,305,Carole King
305,306,Carolina Chocolate Drops
306,307,Carpenters
307,308,Carrie Fisher
308,309,Carrie Underwood
309,310,Carrie Underwood & Randy Travis
310,311,Caspar Babypants
311,312,Cassandra Wilson
312,313,Casting Crowns
313,314,Catherine Russell
314,315,Cathy Fink And Marcy Marxer
315,316,CeCe & BeBe Winans
316,317,CeCe Winans
317,318,Cee Lo Green
318,319,Cee Lo Green & Melanie Fiona
319,320,Celia Cruz
320,321,Celia Cruz & Ray Barretto
321,322,Celine Dion
322,323,Celine Dion & Peabo Bryson
323,324,Cesaria Evora
324,325,Chaka Khan
325,326,Chaka Khan & The Funk Brothers
326,327,Chaka Khan Featuring Mary J. Blige
327,328,Chamillionaire Featuring Krayzie Bone
328,329,Chan's Song
329,330,Chance The Rapper
330,331,Chance The Rapper Featuring Lil Wayne & 2 Chainz
331,332,Charles Kuralt
332,333,Charles Laughton
333,334,Charley Pride
334,335,Charlie Haden
335,336,Charlie Haden & Pat Metheny
336,337,Charlie McCoy
337,338,Charlie Rich
338,339,Che Apalache
339,340,Cheech & Chong
340,341,Chente Barrera y Taconazo
341,342,Cher
342,343,Cherokee
343,344,Chet Atkins
344,345,Chet Atkins & Jerry Reed
345,346,Chet Atkins & Les Paul
346,347,Chet Atkins & Mark Knopfler
347,348,Chet Atkins & Merle Travis
348,349,Chicago
349,350,Chick Corea
350,351,Chick Corea & Gary Burton
351,352,Chick Corea & John McLaughlin Five Peace Band
352,353,Chick Corea & Return To Forever
353,354,Chick Corea & The Spanish Heart Band
354,355,Chick Corea Akoustic Band
355,356,Chick Corea Trio
356,357,Childish Gambino
357,358,Chip Davis (Mannheim Steamroller)
358,359,Chris Botti
359,360,Chris Brown
360,361,Chris Cornell
361,362,Chris Perez Band
362,363,Chris Rock
363,364,Chris Stapleton
364,365,Chris Thile & Edgar Meyer
365,366,Chris Tomlin
366,367,Chrisette Michele Featuring will.i.am
367,368,Christian McBride Big Band
368,369,Christian McBride’s New Jawn
369,370,Christian Scott aTunde Adjuah
370,371,Christina Aguilera
371,372,"Christina Aguilera, Lil' Kim, Mya & Pink"
372,373,"Christone ""Kingfish"" Ingram"
373,374,Christopher Cross
374,375,"Christopher Guest, Eugene Levy & Michael McKean, songwriters (The Folksmen, Mitch & Mickey, And The New Main Street Singers)"
375,376,Christopher Reeve
376,377,Chubby Carrier And The Bayou Swamp Band
377,378,Chubby Checker
378,379,Chucho Valdés
379,380,Chucho Valdés And The Afro-Cuban Messengers
380,381,Chuck Mangione
381,382,Cissy Houston
382,383,Clannad
383,384,Clare Fischer
384,385,"Clarence ""Gatemouth"" Brown"
385,386,Claudia Brant
386,387,Clean Bandit Featuring Jess Glynne
387,388,Cleo Laine
388,389,Clifton Chenier & His Red Hot Louisiana Band
389,390,"Clint Black, Joe Diffie, Merle Haggard, Emmylou Harris, Alison Krauss, Patty Loveless, Earl Scruggs, Ricky Skaggs, Marty Stuart, Pam Tillis, Randy Travis, Travis Tritt & Dwight Yoakam"
390,391,Coldplay
391,392,Commodores
392,393,Common Featuring Kanye West
393,394,Conway Twitty & Loretta Lynn
394,395,Coolio
395,396,"Corea, Clarke & White"
396,397,Corigliano: Conjurer - Concerto For Percussionist & String Orchestra
397,398,Corinne Bailey Rae
398,399,Cortelia Clark
399,400,Count Basie
400,401,"Count Basie Orchestra; Grover Mitchell, director"
401,402,"Crosby, Stills And Nash"
402,403,Crowder
403,404,Crystal Gayle
404,405,Culture Club
405,406,Cyndi Lauper
406,407,Cécile McLorin Salvant
407,408,D'Angelo
408,409,D'Angelo And The Vanguard
409,410,D.J. Jazzy Jeff & The Fresh Prince
410,411,DJ Khaled Featuring Nipsey Hussle & John Legend
411,412,DaBaby
412,413,Dafnis Prieto Big Band
413,414,Daft Punk
414,415,Daft Punk Featuring Pharrell Williams & Nile Rodgers
415,416,"Damian ""Jr. Gong"" Marley"
416,417,Damian Marley
417,418,Dan + Shay
418,419,Dan Auerbach
419,420,"Dan Tyminski, Harley Allen & Pat Enright (The Soggy Bottom Boys)"
420,421,Dan Zanes And Friends
421,422,Dancin' 4 Chicken
422,423,Danger Mouse
423,424,Daniel Caesar & Brandy
424,425,Daniel Tashian
425,426,Daniel Winans
426,427,Danny Gokey
427,428,Darius Rucker
428,429,"Darlene Love, Merry Clayton, Lisa Fischer & Judith Hill"
429,430,Daugherty: Tales Of Hemingway
430,431,Dave Alvin
431,432,Dave Chappelle
432,433,Dave Grohl & Various Artists
433,434,Dave Holland Big Band
434,435,Dave Matthews
435,436,Dave Matthews Band
436,437,David Arkenstone
437,438,David Bowie
438,439,David Crosby
439,440,David Darling
440,441,David Foster
441,442,David Frost
442,443,David Holt
443,444,David Houston
444,445,"David Lee Garza, Joel Guzman & Sunny Sauceda"
445,446,"David Murray, McCoy Tyner, Pharoah Sanders, Cecil McBee & Roy Haynes"
446,447,David Rose And His Orchestra With Andre Previn
447,448,David Sanborn
448,449,David Sanborn & Bob James
449,450,"David Seville & The Chipmunks (Ross Bagdasarian, Sr.)"
450,451,"David Seville And The Chipmunks (Ross Bagdasarian, Sr.)"
451,452,David Sánchez
452,453,Dazz Band
453,454,Death Angel
454,455,Debby Boone
455,456,Debby Boone & Phil Driscoll
456,457,Dee Dee Bridgewater
457,458,Deep Forest
458,459,Deftones
459,460,Del McCoury Band
460,461,Delbert McClinton
461,462,Delbert McClinton & Self-Made Men + Dana
462,463,Deniece Williams
463,464,Destiny's Child
464,465,Deva Premal
465,466,Diamond Rio
466,467,Diana Krall
467,468,Diane Schuur
468,469,"Diane Warren, songwriter (Celine Dion)"
469,470,Dianne Reeves
470,471,Digable Planets
471,472,Dinah Washington
472,473,Dionne Warwick
473,474,"Dionne Warwick, Elton John, Gladys Knight & Stevie Wonder"
474,475,Dire Straits
475,476,Dirk Sobotka
476,477,Dirty Vegas
477,478,Diva Divo
478,479,Dixie Chicks
479,480,Dixie Hummingbirds
480,481,Dizzy Gillespie
481,482,Doc Watson
482,483,Doc Watson & David Holt
483,484,Doc Watson & Merle Watson
484,485,Dolly Parton
485,486,"Dolly Parton, Linda Ronstadt & Emmylou Harris"
486,487,Domenico Modugno
487,488,Don Henley
488,489,Don Was
489,490,Don't Fence Me In
490,491,Donald Lawrence Presents The Tri -City Singers
491,492,Donna Fargo
492,493,Donna Summer
493,494,Donna Summer & Giorgio Moroder
494,495,Donnie McClurkin
495,496,Donnie McClurkin Featuring Karen Clark Sheard
496,497,Donny Hathaway & Roberta Flack
497,498,Dottie Rambo
498,499,Dottie West
499,500,Doyle Lawson & Quicksilver
500,501,Dr. Dre
501,502,Dr. Dre Featuring Eminem
502,503,Dr. John
503,504,Dr. John & Rickie Lee Jones
504,505,Dr. John And The Lower 911
505,506,Draco Rosa
506,507,Drake
507,508,Dreamville
508,509,"Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy"
509,510,Dua Lipa
510,511,Dudley Moore & Peter Cook
511,512,Duffy
512,513,Duke Ellington
513,514,Duran Duran
514,515,"Dutilleux: Violin Concerto, L'Arbre Des Songes"
515,516,Dwight Yoakam
516,517,Eagles
517,518,"Earl Scruggs, Glen Duncan, Randy Scruggs, Steve Martin, Vince Gill, Marty Stuart, Gary Scruggs, Albert Lee, Paul Shaffer, Jerry Douglas & Leon Russell"
518,519,"Earth, Wind & Fire"
519,520,Eartha
520,521,"Earvin ""Magic"" Johnson & Robert O'Keefe"
521,522,Ed Sheeran
522,523,Eddie Blazonczyk's Versatones
523,524,Eddie Murphy
524,525,Eddie Palmieri
525,526,Edward R. Murrow
526,527,Edwin Hawkins & The Edwin Hawkins Singers
527,528,Edwin Hawkins Singers
528,529,El Chapo
529,530,El Güero Y Su Banda Centanario
530,531,Elaine Martone
531,532,Eliane Elias
532,533,Elizabeth Cotten
533,534,Ella Fitzgerald
534,535,Ella Mai
535,536,Ellen DeGeneres
536,537,Elsewhere
537,538,Elton John
538,539,Elvis Costello & Burt Bacharach
539,540,Elvis Costello & The Imposters
540,541,Elvis Crespo
541,542,Elvis Presley
542,543,Emilio Navaira
543,544,Eminem
544,545,Eminem Featuring Rihanna
545,546,"Eminem, Dr. Dre & 50 Cent"
546,547,Emmylou Harris
547,548,Emmylou Harris & Rodney Crowell
548,549,Emmylou Harris & Roy Orbison
549,550,Emmylou Harris & The Nash Ramblers
550,551,"Emmylou Harris, Linda Ronstadt & Dolly Parton"
551,552,Emotions
552,553,Enrique Iglesias
553,554,Enya
554,555,Eric Alexandrakis
555,556,Eric Church
556,557,Eric Clapton
557,558,Eric Johnson
558,559,Eric Tingstad & Nancy Rumbel
559,560,Erica Campbell
560,561,Ernie Watts
561,562,Erykah Badu
562,563,Esperanza Spalding
563,564,Estelle Featuring Kanye West
564,565,Etta James
565,566,Eumir Deodato
566,567,Evanescence
567,568,Evanescence Featuring Paul McCoy
568,569,Eve Featuring Gwen Stefani
569,570,Everett M. Dirksen
570,571,Eydie Gorme
571,572,Eydie Gorme & Steve Lawrence
572,573,FKA twigs
573,574,Faith Hill
574,575,Faith Hill & Tim McGraw
575,576,Fantasia
576,577,Fantastic Negrito
577,578,Fatboy Slim Featuring Bootsy Collins
578,579,Fingerprints
579,580,Finneas
580,581,Fiona Apple
581,582,Flaco Jimenez
582,583,Flatt And Scruggs
583,584,Fleetwood Mac
584,585,Flight Of The Conchords
585,586,Flip Wilson
586,587,Flor De Toloache
587,588,Flume
588,589,Foo Fighters
589,590,For King & Country
590,591,Frank Foster
591,592,Frank Ocean
592,593,Frank Sinatra
593,594,Frank Sinatra And Original Cast
594,595,Frank Solivan & Dirty Kitchen
595,596,Frank Yankovic
596,597,Frank Zappa
597,598,Fred Hammond
598,599,Freddie Hubbard
599,600,Freddy Fender
600,601,Fugees
601,602,Fun.
602,603,Gaither Vocal Band
603,604,Gale Garnett
604,605,Garrison Keillor
605,606,Garth Brooks
