,cod_job,job
366,366,"engineer/mixer (The King's Singers, Laudibus, Pavão Quartet & The Eric Whitacre Singers)"
367,367,engineer/mixer (Thomas Newman)
368,368,engineer/mixer (Various Artists)
369,369,engineers
370,370,engineers (Chor der Deutschen Staatsoper Berlin
371,371,engineers (Christoph Eschenbach)
372,372,engineers (Eliesha Nelson & John McLaughlin Williams)
373,373,engineers (Eric Clapton)
374,374,"engineers (Erich Kunzel, conductor)"
375,375,"engineers (Georg Solti, conductor)"
376,376,engineers (George Gershwin 1925 Piano Roll
377,377,"engineers (Herbert Blomstedt, conductor)"
378,378,engineers (Isaac Hayes)
379,379,engineers (Janis Ian)
380,380,engineers (John Mayer)
381,381,"engineers (Leonard Slatkin, conductor)"
382,382,engineers (Michael Jackson)
383,383,engineers (Natalie Cole)
384,384,engineers (Norah Jones)
385,385,engineers (Original Broadway Cast)
386,386,engineers (Patrick Summers)
387,387,"engineers (Pierre Boulez, conductor)"
388,388,engineers (Quincy Jones)
389,389,engineers (Radiohead)
390,390,engineers (Rainer Kussmaul
391,391,engineers (Ray Charles & Various Artists)
392,392,engineers (Sheryl Crow)
393,393,engineers (Steely Dan)
394,394,engineers (Steve Winwood)
395,395,engineers (Stevie Wonder)
396,396,engineers (Suzanne Vega)
397,397,engineers (The Crossing
398,398,engineers (The Flaming Lips)
399,399,engineers (The Raconteurs)
400,400,engineers (Tom Petty)
401,401,engineers (Toto)
402,402,engineers (Yo-Yo Ma)
403,403,engineers/mixers
404,404,engineers/mixers (Antoni Wit)
405,405,engineers/mixers (Bishop T.D. Jakes & The Potter's House Mass Choir)
406,406,engineers/mixers (Concerto Köln)
407,407,engineers/mixers (Hezekiah Walker & LFT Church Choir)
408,408,engineers/mixers (Original Broadway Cast Recording)
409,409,engineers/mixers (Original Broadway Cast)
410,410,engineers/mixers (The Brooklyn Tabernacle Choir)
411,411,engineers/mixers (Trent Reznor & Atticus Ross)
412,412,ensemble (Jesús Rodil & Dingle Yandell)
413,413,ensembles
414,414,featured artist
415,415,featured artists
416,416,immersive audio engineer
417,417,immersive audio mastering engineer
418,418,"immersive audio producer (Anita Brevik, Trondheimsolistene & Nidarosdomens Jentekor)"
419,419,immersive audio producers (A Bad Think)
420,420,immersive audio producers (Jan Kraybill)
421,421,immersive audio producers (YACHT)
422,422,lyricist
423,423,lyricists
424,424,mastering engineer
425,425,mastering engineer (Alabama Shakes)
426,426,mastering engineer (Alison Krauss & Union Station)
427,427,mastering engineer (Beck)
428,428,mastering engineer (Billie Eilish)
429,429,mastering engineer (Bob Dylan)
430,430,mastering engineer (Bobbie Gentry)
431,431,mastering engineer (Bruno Mars)
432,432,mastering engineer (Charles Bruffy & Kansas City Chorale)
433,433,mastering engineer (David Bowie)
434,434,mastering engineer (Ella Mai)
435,435,mastering engineer (Emily King)
436,436,mastering engineer (Hank Williams)
437,437,mastering engineer (Hermitage Piano Trio)
438,438,mastering engineer (International Contemporary Ensemble)
439,439,mastering engineer (Kronos Quartet)
440,440,mastering engineer (Little Walter)
441,441,mastering engineer (Pete Seeger)
442,442,mastering engineer (The Beach Boys)
443,443,mastering engineer (The Rolling Stones)
444,444,mastering engineer (The Teskey Brothers)
445,445,mastering engineer (Thomas Dybdahl)
446,446,mastering engineer (Various Artists)
447,447,"mastering engineer (Yo-Yo Ma, Stuart Duncan, Edgar Meyer & Chris Thile)"
448,448,mastering engineers
449,449,mastering engineers (Beck)
450,450,mastering engineers (Billie Holiday)
451,451,mastering engineers (Bob Dylan And The Band)
452,452,mastering engineers (Charley Patton)
453,453,mastering engineers (Daft Punk)
454,454,mastering engineers (Duke Ellington)
455,455,mastering engineers (Hank Williams)
456,456,mastering engineers (Jascha Heifetz & Various Artists)
457,457,mastering engineers (Jelly Roll Morton)
458,458,mastering engineers (Leonard Bernstein)
459,459,mastering engineers (Louis Armstrong)
460,460,mastering engineers (Miles Davis & Gil Evans)
461,461,mastering engineers (Paul McCartney & Wings)
462,462,mastering engineers (The Beatles)
463,463,mastering engineers (Various Artists)
464,464,mastering engineers (Vladimir Horowitz)
465,465,mastering engineers (Woody Guthrie)
466,466,mixer
467,467,mixers
468,468,music supervisor
469,469,music supervisors
470,470,photographer
471,471,photographer (B.B. King)
472,472,principal soloist
473,473,principal soloists
474,474,producer
475,475,"producer (Alex Bradford, Hope Clarke, Bobby Hill)"
476,476,producer (Alexandre Desplat)
477,477,producer (Angela Lansbury & Len Cariou)
478,478,producer (Boston Early Music Festival Chamber Ensemble
479,479,producer (Choeurs Et Maitrise De Radio France
480,480,producer (Chorus Of Opera De Lyon
481,481,producer (Festspielorchester Bayreuth
482,482,producer (Garry Morris & Cast Members)
483,483,"producer (Glynis Johns,Len Cariou,Hermoine Gingold,Victoria  Mallory, Patricia Elliott, Teri Ralston)"
484,484,"producer (Jason Alexander, Debbie Shapiro & Robert La Fasse)"
485,485,producer (Kazushi Ono
486,486,producer (Kiri Te Kanawa & Jose Carreras)
487,487,producer (Lena Horne)
488,488,producer (Original 1986 Cast)
489,489,producer (Original Broadway Cast Recording)
490,490,producer (Original Broadway Cast)
491,491,"producer (Original Cast Including Bernadette Peters, Mandy Patinkin & Others)"
492,492,producer (Original Cast Recording)
493,493,producer (Original Cast)
494,494,"producer (Stephanie Mills, Dee Dee Bridgewater)"
495,495,producer (The New Broadway Cast)
496,496,producer (Various Artists)
497,497,"producer (Virginia Capers, Joe Morton, Ernestine Jackson, Robert Jackson, Deborah Allen, Helen Martin)"
498,498,producer.
499,499,producers
500,500,"producers (Anaïs Mitchell, composer & lyricist) (Original Broadway Cast)"
501,501,"producers (Andrea McCardle, Dorothy Loudon)"
502,502,producers (Antonio Sanchez)
503,503,producers (Hans Zimmer & James Newton Howard)
504,504,producers (Orchestre De L'Opera De Paris)
505,505,producers (Original Broadway Cast)
506,506,producers (Tan Dun)
507,507,producers (The New Broadway Cast Including Bernadette Peters & Tom Wopat)
508,508,producers (Thomas Newman)
509,509,producers (Various Artists)
510,510,remixer
511,511,remixer (Benny Benassi)
512,512,remixer (Bob Moses)
513,513,remixer (Coldplay)
514,514,remixer (Curtis Mayfield)
515,515,remixer (Haim)
516,516,remixer (John Legend)
517,517,remixer (Jorja Smith)
518,518,remixer (Lana Del Rey)
519,519,remixer (Madonna)
520,520,remixer (Mild Minds)
521,521,remixer (Miley Cyrus)
522,522,remixer (No Doubt)
523,523,remixer (Public Enemy)
524,524,remixers (Dido)
525,525,remixers (MGMT)
526,526,remixers (Madonna)
527,527,remixers (Marie Davidson)
528,528,remixers (Nero)
529,529,restoration engineer (Various Artists)
530,530,soloist
531,531,soloists
532,532,songwriter
533,533,songwriter (Alan Jackson)
534,534,songwriter (Alanis Morissette)
535,535,songwriter (Alicia Keys)
536,536,songwriter (Alison Krauss & Union Station)
537,537,songwriter (Amy Winehouse)
538,538,songwriter (Barry Manilow)
539,539,songwriter (Bette Midler)
540,540,songwriter (Billy Joel)
541,541,songwriter (Bobby McFerrin)
542,542,songwriter (Boyz II Men)
543,543,songwriter (Brittany Howard)
544,544,songwriter (Bruce Springsteen)
545,545,songwriter (Carole King)
546,546,songwriter (Chaka Khan)
547,547,songwriter (Charley Pride)
548,548,songwriter (Charlie Rich)
549,549,songwriter (Chris Stapleton)
550,550,songwriter (Christopher Cross)
551,551,songwriter (Crystal Gayle)
552,552,songwriter (David Bowie)
553,553,songwriter (Debby Boone)
554,554,songwriter (Dolly Parton)
555,555,songwriter (Donna Summer)
556,556,songwriter (Gary Clark Jr.)
557,557,songwriter (Jason Isbell And The 400 Unit)
558,558,songwriter (Jason Isbell)
559,559,songwriter (John Legend & The Roots)
560,560,songwriter (John Mayer)
561,561,songwriter (Judy Collins)
562,562,songwriter (K.T. Oslin)
563,563,songwriter (Kenny Rogers)
564,564,songwriter (Kirk Franklin)
565,565,songwriter (Larry Gatlin)
566,566,songwriter (Laura Story)
567,567,songwriter (Lauryn Hill)
568,568,songwriter (LeAnn Rimes)
569,569,songwriter (Marty Robbins)
570,570,songwriter (Mary Chapin Carpenter)
571,571,songwriter (Michael Jackson)
572,572,songwriter (Miguel)
573,573,songwriter (Neil Young)
574,574,songwriter (Norah Jones)
575,575,songwriter (Our Native Daughters)
576,576,songwriter (R. Kelly)
577,577,songwriter (Roberta Flack)
578,578,songwriter (Rodney Crowell)
579,579,songwriter (Ronnie Milsap)
580,580,songwriter (Sammi Smith)
581,581,songwriter (Seal)
582,582,songwriter (Simon And Garfunkel)
583,583,songwriter (Soul Asylum)
584,584,songwriter (Stevie Wonder)
585,585,songwriter (Sting)
586,586,songwriter (Sugarland)
587,587,songwriter (Taylor Swift)
588,588,songwriter (The Clark Sisters)
589,589,songwriter (The Judds)
590,590,songwriter (The Police)
591,591,songwriter (The Time Jumpers)
592,592,songwriter (The Wallflowers)
593,593,songwriter (The White Stripes)
594,594,songwriter (Thom Yorke)
595,595,songwriter (Tim McGraw)
596,596,songwriter (Tracy Chapman)
597,597,songwriter (Tye Tribbett)
598,598,songwriter (Vampire Weekend)
599,599,songwriter (Vince Gill)
600,600,"songwriter (Waylon Jennings, Willie Nelson, Johnny Cash & Kris Kristofferson)"
601,601,songwriter (Whitney Houston)
602,602,songwriter (Willie Nelson)
603,603,songwriters
604,604,songwriters (Adele)
605,605,songwriters (Alabama Shakes)
606,606,songwriters (Alan Jackson & Jimmy Buffett)
607,607,songwriters (Alanis Morissette)
608,608,songwriters (Alicia Keys)
609,609,songwriters (Anita Baker)
610,610,songwriters (Aretha Franklin)
611,611,songwriters (Ashley McBryde)
612,612,songwriters (B.J. Thomas)
613,613,songwriters (Barbra Streisand)
614,614,songwriters (Bette Midler)
615,615,songwriters (Betty Wright)
616,616,songwriters (Beyoncé)
617,617,songwriters (Billie Eilish)
618,618,"songwriters (Bob Carlisle, Jeff Carson & Raybon Bros.)"
619,619,songwriters (Boyz II Men)
620,620,songwriters (Boz Scaggs)
621,621,songwriters (Brandi Carlile)
622,622,songwriters (Bruno Mars)
623,623,songwriters (Carrie Underwood)
624,624,songwriters (Cee Lo Green & Melanie Fiona)
625,625,songwriters (Celine Dion)
626,626,songwriters (Charlie Rich)
627,627,songwriters (Childish Gambino)
628,628,songwriters (Chris Stapleton)
629,629,songwriters (Clarence Carter)
630,630,songwriters (Coldplay)
631,631,songwriters (Creed)
632,632,songwriters (D'Angelo And The Vanguard)
633,633,songwriters (DaBaby)
634,634,songwriters (Dan + Shay)
635,635,songwriters (Destiny's Child)
636,636,"songwriters (Dionne Warwick, Elton John, Gladys Knight & Stevie Wonder)"
637,637,songwriters (Dixie Chicks)
638,638,songwriters (Dolly Parton)
639,639,songwriters (Drake)
640,640,"songwriters (Earth, Wind & Fire)"
641,641,songwriters (Ed Sheeran)
642,642,songwriters (Ella Mai)
643,643,songwriters (Emily King)
644,644,songwriters (Eminem)
645,645,songwriters (Eric Church)
646,646,songwriters (Eric Clapton AND ALSO Wynonna)
647,647,songwriters (Eric Clapton)
648,648,songwriters (Foo Fighters)
649,649,songwriters (George Benson)
650,650,songwriters (Glen Campbell)
651,651,songwriters (H.E.R.)
652,652,songwriters (Israel & New Breed)
653,653,songwriters (Janet Jackson)
654,654,songwriters (Jay-Z & Alicia Keys)
655,655,songwriters (Jay-Z & Kanye West)
656,656,"songwriters (Jay-Z, Rihanna & Kanye West)"
657,657,songwriters (John Michael Montgomery)
658,658,songwriters (Justin Timberlake)
659,659,songwriters (Kacey Musgraves)
660,660,songwriters (Kanye West)
661,661,"songwriters (Kanye West, Rihanna, Kid Cudi & Fergie)"
662,662,songwriters (Kathy Mattea)
663,663,songwriters (Kendrick Lamar)
664,664,songwriters (Kenny Rogers)
665,665,songwriters (Kim Carnes)
666,666,songwriters (Kings Of Leon)
667,667,songwriters (Kirk Whalum & Lalah Hathaway)
668,668,songwriters (Lady Antebellum)
669,669,songwriters (Lady Gaga & Bradley Cooper)
670,670,songwriters (Lady Gaga)
671,671,songwriters (Lana Del Rey)
672,672,songwriters (Lee Ann Womack)
673,673,songwriters (Leo Sayer)
674,674,songwriters (Lewis Capaldi)
675,675,songwriters (Linda Ronstadt & James Ingram)
676,676,songwriters (Little Big Town)
677,677,songwriters (Lizzo)
678,678,songwriters (Lorde)
679,679,songwriters (Lucky Daye)
680,680,songwriters (Luther Vandross)
681,681,songwriters (M.C. Hammer)
682,682,songwriters (Mandisa)
683,683,songwriters (Mariah Carey)
684,684,songwriters (Mary J. Blige)
685,685,songwriters (Mary Mary)
686,686,songwriters (Matt Redman)
687,687,songwriters (Maxwell)
688,688,songwriters (Miranda Lambert)
689,689,songwriters (Ne-Yo)
690,690,songwriters (Paramore)
691,691,"songwriters (Paul McCartney, Dave Grohl, Krist Novoselic, Pat Smear)"
692,692,songwriters (Peabo Bryson & Regina Belle)
693,693,songwriters (Randy Travis)
694,694,songwriters (Rascal Flatts)
695,695,songwriters (Red Hot Chili Peppers)
696,696,songwriters (Roberta Flack)
697,697,songwriters (Rosanne Cash)
698,698,songwriters (Sam Smith)
699,699,songwriters (Shania Twain)
700,700,songwriters (Shawn Colvin)
701,701,songwriters (Simply Red)
702,702,songwriters (St. Vincent)
703,703,songwriters (Stephanie Mills)
704,704,songwriters (Steve Martin & Edie Brickell)
705,705,songwriters (TLC)
706,706,songwriters (Tanya Tucker)
707,707,songwriters (Taylor Swift)
708,708,songwriters (The 1975)
709,709,songwriters (The Black Keys)
710,710,songwriters (The Doobie Brothers)
711,711,songwriters (The Judds)
712,712,songwriters (The Temptations)
713,713,songwriters (Tim McGraw)
714,714,songwriters (Tina Turner)
715,715,songwriters (Tool)
716,716,songwriters (Train)
717,717,songwriters (U2)
718,718,songwriters (USA For Africa - Various Artists)
719,719,songwriters (Vince Gill)
720,720,songwriters (Willie Nelson)
721,721,songwriters (Yola)
722,722,songwriters (Yolanda Adams)
723,723,surround mastering engineer
724,724,surround mastering engineers
725,725,surround mix engineer
726,726,surround producer (Beyoncé)
727,727,surround producer (Donald Fagen)
728,728,surround producer (Patricia Barber)
729,729,surround producer (Paul McCartney)
730,730,surround producer (Roger Waters)
731,731,surround producer (The Alan Parsons Project)
732,732,surround producers
733,733,surround producers (Derek & The Dominos)
734,734,surround producers (Dire Straits)
735,735,surround producers (Ray Charles & Various Artists)
736,736,surround producers (The Beatles)
737,737,video director
738,738,video directors
739,739,video producer
740,740,video producers
741,741,violin
